ACPCARAB107,ACCO,CARPETA ACCO VIEWTAB BINDER 8 DIV NGA,078910550953,161.39,29,3,25,2014-01-14T00:00:00
ACPCARAB108,ACCO,CARPETA ACCO VIEWTAB BINDER 5 DIV NGA,078910553657,178.71,29,3,25,2014-01-14T00:00:00
ACPCARAB114,ACCO,"ARGOLLAS ACCO 2"" BLISTER C/3",050505720194,42.45,10,2,13,2014-04-16T00:00:00
ACPCARAB116,ACCO,"CARPETA ACCO VINIL CLEAR VIEW O3 1"" CARTA BLANCO",7501357027755,39.78,4,27,30,2014-06-30T00:00:00
ACPCARAB117,ACCO,"CARPETA ACCO VINIL O3 1.5"" CARTA BLANCO",7501357027762,50.77,6,29,30,2014-06-30T00:00:00
ACPCARAB120,ACCO,"CARPETA ACCO 361 VINIL ARO ""O"" 1"" CARTA AZUL",7501357031325,98.30,4,27,30,2015-08-27T00:00:00
ACPCARAB121,ACCO,"CARPETA ACCO 361 VINIL ARO ""O"" 1.5"" CARTA AZUL",7501357031349,72.63,6,29,30,2015-08-27T00:00:00
ACPCARAB122,ACCO,"CARPETA ACCO 361 VINIL ARO ""O"" 2"" CARTA AZUL",7501357031363,130.53,7,29,30,2015-08-27T00:00:00
ACPCARAB127,ACCO,"CARPETA VINIL CAR-GO ARO ""O"" 3"" CAJA C/12 BLANCA",67501357049025,907.57,20,10,20,2016-08-22T00:00:00
ACPCARAB130,ACCO,Folder Colgante Acco Wilson Jones Carta Color Verde Tradicional Caja C/25 Pzas,7501357036368,499.67,4,42,28,2017-01-17T00:00:00
ACPCARAB131,ACCO,Folder Colgante Acco Wilson Jones Oficio Color Verde Tradicional Caja C/25 Pzas,7501357036313,521.39,25,6,42,2017-01-17T00:00:00
ACPCLIAB017,ACCO,CLIP ACCO COLORES BLISTER C/100 CLIPS,050505725229,35.52,3,10,10,2015-08-27T00:00:00
ACPCUAAB001,ACCO,CUADERNO ACCO PROFESIONAL FIVE STAR 1 MATERIA,043100060444,143.62,2,26,21,2015-05-27T00:00:00
ACPCUAAB002,ACCO,CUADERNO ACCO PROFESIONAL FIVE STAR 3 MATERIAS,043100060505,243.46,2,26,21,2015-05-27T00:00:00
ACPCUAAB003,ACCO,CUADERNO ACCO PROFESIONAL FIVE STAR 5 MATERIAS,043100061120,274.08,21,26,2,2015-05-27T00:00:00
ACPENAAB033,ACCO,ENGRAPADORA ACCO ELECTRICA SWINGLINE C/GRIP,7501357039987,1768.38,9,14,20,2014-06-30T00:00:00
ACPENAAB034,ACCO,ENGRAPADORA ACCO FASHION ROJA,7501357038942,144.15,4,6,17,2015-05-27T00:00:00
ACPENAAB035,ACCO,ENGRAPADORA ACCO FASHION AZUL TIRA COMPLETA,7501357038959,144.15,4,6,17,2015-05-27T00:00:00
ACPFOIAB002,ACCO,FOLIADOR ACCO REXEL MOD 22 CON 8 DIGITOS,5010255788405,4845.30,16,6,7,2014-11-21T00:00:00
ACPLAPAB001,ACCO,LAMPARA ESCRITORIO ACCO SWINGLINE LED EL211,7501357039949,868.55,31,5,16,2014-07-04T00:00:00
ACPLAPAB002,ACCO,LAMPARA ESCRITORIO ACCO SWINGLINE LED CLIP EL33,7501357039956,631.47,23,11,12,2014-07-04T00:00:00
ACPLAPAB003,ACCO,LAMPARA ESCRITORIO ACCO SWINGLINE LED CLIP EL34,7501357039963,543.06,23,11,12,2014-07-04T00:00:00
ACPLAPAB004,ACCO,LAMPARA ESCRITORIO ACCO SWINGLINE LED EL23,7501357039970,998.84,33,16,16,2014-07-04T00:00:00
ACPSACAB001,ACCO,SACAPUNTAS  ACCO ELECTRICO SWINGLINE,7501357038881,1065.53,8,15,18,2015-05-27T00:00:00
ACPSEPAB029,ACCO,Separador Acco Wilson Jones Mensual Carta Cejas de Colores,078910005118,55.96,6,25,34,2017-01-17T00:00:00
ADCDISAD030,ADATA,DISCO DURO ADATA HD710 2TB NEGRO USB 3,4713218460424,2335.51,18,4,16,2014-07-11T00:00:00
ADCDISAD038,ADATA,DISCO DURO ADATA SPORT AHD710 2TB USB AZUL,4713218460677,2335.51,4,13,18,2015-06-01T00:00:00
ADCDISAD047,ADATA,DISCO DURO ADATA EXTERNO USB 3.0 HD720 1TB NEGRO RESISTE AGU,4712366963351,1717.00,4,6,22,2015-11-06T00:00:00
ADCDISAD048,ADATA,DISCO DURO ADATA EXTERNO USB 3.0 HD720 1TB AZUL RESISTE AGUA,4712366963368,1717.00,4,6,22,2015-11-06T00:00:00
ADCDISAD049,ADATA,DISCO DURO ADATA EXTERNO USB 3.0 HD720 1TB VERDE RESISTE AGU,4712366963375,1717.00,4,6,22,2015-11-06T00:00:00
ADCDISAD051,ADATA,DISCO DURO ADATA EXTERNO USB 3.0 HD720 2TB AZUL RESISTE AGUA,4712366963399,2230.34,8,4,16,2015-11-06T00:00:00
ADCDISAD123,ADATA,Disco duro Adata HD770G Externo 2 TB RGB USB 3.2 Color Rojo,4710273772240,2499.19,14,10,3,2022-07-15T00:00:00
ADCDISAD136,ADATA,Unidad de Estado Sólido Adata LEGEND 740 PCIe 1TB Gen3 x4 M.2 2280,4711085935847,3450.99,1,3,2,2022-06-28T00:00:00
ADCDISAD137,ADATA,Unidad de Estado Sólido Adata XPG Gammix S11 Pro 512GB PCI Express 3.0 x4 M.2,4710273770765,2261.85,8,1,2,2022-06-23T00:00:00
ADCDISAD138,ADATA,Unidad de Estado Sólido Adata XPG Gammix S11 Pro 256GB PCI Express 3.0 M.2,4710273770758,1587.08,1,8,2,2022-06-23T00:00:00
ADCDISAD139,ADATA,Unidad de Estado Sólido Adata Falcon PCIe 1TB Gen3x4 M.2 2280,4710273776033,3541.22,2,8,3,2022-06-30T00:00:00
ADCMEMAB010,ADATA,Memoria USB Adata UV150 32 GB 3.2 Gen1 Color Rojo,4713435797105,116.42,1,10,18,2014-11-27T00:00:00
ADCMEMAB018,ADATA,Memoria USB Adata C008 16 GB Color Blanco-Azul,4718050609642,93.30,10,2,11,2015-01-21T00:00:00
ADCMEMAB019,ADATA,Memoria USB Adata C008 16 GB Color Negro-Rojo,4718050609604,93.30,8,1,10,2015-01-21T00:00:00
ADCMEMAB023,ADATA,Memoria USB Adata C008 32 GB Color Blanco-Azul,4718050609666,105.57,2,1,5,2015-01-21T00:00:00
ADCMEMAB029,ADATA,Memoria USB Adata C906 16 GB Color Negro,4718050608911,93.30,10,2,11,2015-03-03T00:00:00
ADCMEMAB056,ADATA,Memoria USB Adata C906 Compacta 32 GB Color Negro,4713435791912,98.82,12,1,10,2015-10-15T00:00:00
ADCMEMAB061,ADATA,Memoria USB Adata C008 32 GB Color Negro-Rojo,4718050609659,98.82,10,1,18,2015-10-15T00:00:00
ADCMEMAB063,ADATA,MEMORIA USB ADATA UV150-32GB-RETAILBLACK 3.0,4713435797075,116.42,1,10,18,2015-10-15T00:00:00
ADCMEMAB072,ADATA,MEMORIA USB ADATA UV150 16GB 3.0 NEGRO,4713435797068,171.25,10,1,18,2015-12-03T00:00:00
ADCMEMAB077,ADATA,Memoria Ram Adata Premier 8GB SODIMM DDR3L 1600 MHz CL11 204Pin 1.35V para Laptop,4713435795538,1450.82,10,1,18,2016-01-18T00:00:00
ADCMEMAB112,ADATA,Memoria USB Adata UV240 16 GB 2.0 Color Negro,4713218465368,93.30,1,2,5,2018-06-11T00:00:00
ADCMEMAB116,ADATA,Memoria USB Adata UV240 32 GB 2.0 Color Rojo,4713218466150,105.57,1,2,5,2018-06-11T00:00:00
ADCMEMAB117,ADATA,Memoria USB Adata UV240 32 GB 2.0 Color Blanco,4713218465399,105.57,1,2,5,2018-06-11T00:00:00
ADCMEMAB153,ADATA,Memoria USB Adata UV320 32GB 3.2 Gen1 (3.1 Gen1) Color Negro-Azul,4713218462800,136.26,20,55,10,2022-06-30T00:00:00
AEHDEKAB146,ACER,Desktop Acer Veriton X VX4670G-M301 Intel Core i3 10100 Disco duro 1 TB Ram 4 GB Windows 10 Pro,195133090407,23765.75,10,33,31,2022-07-11T00:00:00
AEHLATAB351,ACER,"Laptop Acer Aspire 3 A315-58-36TP 15.6"" Intel Core i3 1115G4 Disco duro 256 GB SSD Ram 8 GB Windows 11 Home Color Plata",195133118231,18881.61,2,24,36,2022-07-19T00:00:00
AEHLATAB352,ACER,"Laptop Acer Aspire 5 A514-54-55ZZ 14"" Intel Core i5 1135G7 Disco duro 1TB+256GB SSD Ram 8GB Windows 11 Home Color Plata",195133152952,26338.50,2,22,33,2022-07-11T00:00:00
AEHMOIAB092,ACER,"Monitor Acer Nitro VG1 VG271 Sbmiipx 27"" FHD Resolución 1920x1080 Panel VA",195133146692,9206.22,23,56,61,2022-07-27T00:00:00
AHCPROAB012,AMD ,Procesador AMD Ryzen 9 5950X 3.4GHz 64MB 105w S AM4 16 Núcleos Sin Graficos No Incluye Disipador,730143312745,19522.52,7,14,13,2022-07-07T00:00:00
AHCPROAB013,AMD ,Procesador AMD Ryzen 5 5600 3.5GHz 32MB 65w S AM4 6 Núcleos Sin Gráficos,730143314190,7081.00,7,14,13,2022-07-29T00:00:00
AHCPROAB014,AMD ,Procesador AMD Ryzen 5 5500 3.6GHz 32MB 65w S AM4 6 Núcleos Sin Gráficos,730143314121,4686.57,7,14,13,2022-07-29T00:00:00
AHCPROAB015,AMD ,Procesador AMD Ryzen 7 5700X 3.4GHz 32MB 65w S AM4 8 Núcleos No Incluye Disipador Sin Gráficos,730143314275,10371.17,7,14,13,2022-07-29T00:00:00
AIPBOLAB006,ARTLINE ,Boligrafo Artline A-Ink Modelo Ball Ink 1.0mm Negro C/12,7502265162019,54.42,1,6,16,2016-06-21T00:00:00
AKCACCAK001,ACTECK,BANDA ELASTICA ACTECK  AJUSTABLE HEADBAND PARA ACTION CAM NE,7506215910637,292.99,18,8,16,2016-06-23T00:00:00
AKCACCAK002,ACTECK,BANDA ELASTICA  ACTECK AJUSTABLE CHESTBAND PARA ACTION CAM N,7506215910644,292.99,32,6,17,2016-06-23T00:00:00
AKCACCAK003,ACTECK,BATERIA RECARGABLE ACTECK 1150 MAH PARA ACTION CAM NEGRO,7506215910651,397.74,5,15,28,2016-06-23T00:00:00
AKCACCAK004,ACTECK,CASE PROTECTOR ACTECK RESISTENTE AL AGUA PARA ACTION CAM,7506215910668,397.74,19,5,16,2016-06-23T00:00:00
ALPPIZAB032,ALFRA,PINTARRON ALFRA METALICO CLASICO ESCOLAR PHL 90X120 CMS,7501527932438,2845.18,2,90,120,2014-05-27T00:00:00
ALPPIZAB033,ALFRA,PINTARRON ALFRA METALICO CLASICO ESCOLAR PHL 120X180 CMS,7501527932346,5698.16,2,120,180,2014-05-27T00:00:00
ALPPIZAB034,ALFRA,PINTARRON ALFRA METALICO ESCOLAR PHL 120x240 CMS,7501527932216,6902.49,2,120,240,2014-06-18T00:00:00
ALPPIZAB036,ALFRA,PINTARRON ALFRA MIXTO BLANCO Y CORCHO 60X90,7501527948422,1160.16,3,60,90,2014-07-11T00:00:00
ALPPIZAB037,ALFRA,PINTARRON ALFRA BLANCO MARCO ALUMINIO 120 X 150 CMS,7501527948385,3142.69,2,120,150,2014-07-29T00:00:00
ALPPIZAB041,ALFRA,PEDESTAL ALFRA GIRATORIO SCALETTA 120X240X200,7501527920770,17417.97,127,5,246,2015-09-02T00:00:00
ALPPIZAB043,ALFRA,PINTARRON ALFRA IGLU INFANTIL 30X40 CMS,7501527920145,194.88,2,42,32,2016-05-23T00:00:00
ALPPIZAB047,ALFRA,"PIZARRON INTERACTIVO ALFRA MULTITOUCH ELITE 82""",7501527968604,25206.11,10,128,176,2017-07-14T00:00:00
ALPPIZAB062,ALFRA,PINTA GIS ALFRA PUNTA CINCEL C/36 COLORES EN 4 COLORES,7501527966075,801.59,0,0,0,2019-09-19T00:00:00
ALPROTAB004,ALFRA,Rotafolio Alfra Colors Vanguardia 90x060cm,7501527961742,3784.75,60,3,90,2016-05-23T00:00:00
